Date,Genotype,Condition,Odorant,Replicate,Concentration,CI
20211002,PY12009,Control,Diacetyl,1,10^-3,1
20211002,PY12009,Control,Diacetyl,2,10^-3,1
20211002,PY12009,Control,Diacetyl,3,10^-3,1
20211008,PY12009,Control,Diacetyl,1,10^-3,0.97037037
20211008,PY12009,Control,Diacetyl,2,10^-3,0.990384615
20211019,PY12009,Control,Diacetyl,1,10^-3,0.922651934
20211019,PY12009,Control,Diacetyl,2,10^-3,0.926701571
20211015,PY12009,Control,Diacetyl,1,10^-3,1
20211015,PY12009,Control,Diacetyl,2,10^-3,1
20220215,PY12009,Control,Diacetyl,1,10^-4,0.606837607
20220215,PY12009,Control,Diacetyl,2,10^-4,0.491525424
20220215,PY12009,Control,Diacetyl,3,10^-4,0.617977528
20220218,PY12009,Control,Diacetyl,1,10^-4,0.801169591
20220218,PY12009,Control,Diacetyl,2,10^-4,0.862385321
20211002,PY12009,Control,Diacetyl,2,10^-5,0.873684211
20211002,PY12009,Control,Diacetyl,3,10^-5,0.75
20211008,PY12009,Control,Diacetyl,1,10^-5,0.418439716
20211008,PY12009,Control,Diacetyl,2,10^-5,0.462365591
20211019,PY12009,Control,Diacetyl,1,10^-5,0.24137931
20211019,PY12009,Control,Diacetyl,2,10^-5,0.222222222
20211015,PY12009,Control,Diacetyl,1,10^-5,0.915492958
20211015,PY12009,Control,Diacetyl,2,10^-5,0.76344086
20211109,PY12009,Control,Diacetyl,1,10^-5,0.679245283
20220218,PY12009,Control,Diacetyl,1,10^-5,0.622641509
20211002,PY12009,Control,Diacetyl,2,10^-6,0.837837838
20211002,PY12009,Control,Diacetyl,3,10^-6,0.470588235
20211008,PY12009,Control,Diacetyl,1,10^-6,0.153846154
20211008,PY12009,Control,Diacetyl,2,10^-6,0.302752294
20211019,PY12009,Control,Diacetyl,2,10^-6,0.369863014
20211015,PY12009,Control,Diacetyl,1,10^-6,0.44
20211015,PY12009,Control,Diacetyl,2,10^-6,0.6
20211109,PY12009,Control,Diacetyl,1,10^-6,0.5
20220218,PY12009,Control,Diacetyl,1,10^-6,0.306666667
20211001,N2,Control,Diacetyl,1,10^-3,0.957142857
20211001,N2,Control,Diacetyl,2,10^-3,0.990697674
20211001,N2,Control,Diacetyl,3,10^-3,0.946153846
20211002,N2,Control,Diacetyl,1,10^-3,0.973684211
20211002,N2,Control,Diacetyl,2,10^-3,0.993355482
20211002,N2,Control,Diacetyl,3,10^-3,0.967213115
20211008,N2,Control,Diacetyl,1,10^-3,0.960784314
20211008,N2,Control,Diacetyl,2,10^-3,0.98019802
20211015,N2,Control,Diacetyl,1,10^-3,0.948051948
20211015,N2,Control,Diacetyl,2,10^-3,0.941747573
20211015,N2,Control,Diacetyl,3,10^-3,0.941747573
20220208,N2,Control,Diacetyl,1,10^-3,0.987804878
20220208,N2,Control,Diacetyl,2,10^-3,0.918699187
20220211,N2,Control,Diacetyl,1,10^-3,0.845410628
20220211,N2,Control,Diacetyl,2,10^-3,0.919254658
1/18/20,N2,Control,Diacetyl,1,10^-3,0.745098039
1/18/20,N2,Control,Diacetyl,2,10^-3,0.871287129
1/18/20,N2,Control,Diacetyl,3,10^-3,0.939393939
1/21/20,N2,Control,Diacetyl,1,10^-3,0.837837838
1/21/20,N2,Control,Diacetyl,2,10^-3,0.942028986
1/21/20,N2,Control,Diacetyl,3,10^-3,0.960199005
1/29/20,N2,Control,Diacetyl,1,10^-3,0.969072165
1/29/20,N2,Control,Diacetyl,2,10^-3,0.943548387
1/29/20,N2,Control,Diacetyl,3,10^-3,0.886925795
1/29/20,N2,Control,Diacetyl,4,10^-3,0.840909091
1/31/20,N2,Control,Diacetyl,1,10^-3,0.928825623
2/10/20,N2,Control,Diacetyl,1,10^-3,0.942583732
2/10/20,N2,Control,Diacetyl,2,10^-3,0.964912281
2/10/20,N2,Control,Diacetyl,3,10^-3,0.914529915
2/18/20,N2,Control,Diacetyl,1,10^-3,0.857988166
2/18/20,N2,Control,Diacetyl,2,10^-3,0.937984496
2/18/20,N2,Control,Diacetyl,3,10^-3,1
2/25/20,N2,Control,Diacetyl,1,10^-3,0.987538941
2/25/20,N2,Control,Diacetyl,2,10^-3,0.933085502
2/25/20,N2,Control,Diacetyl,3,10^-3,0.894736842
20220208,N2,Control,Diacetyl,1,10^-4,0.943127962
20220208,N2,Control,Diacetyl,2,10^-4,0.862745098
20220211,N2,Control,Diacetyl,1,10^-4,0.509933775
20220211,N2,Control,Diacetyl,2,10^-4,0.414965986
20220215,N2,Control,Diacetyl,1,10^-4,0.368421053
20220215,N2,Control,Diacetyl,2,10^-4,0.609756098
20220218,N2,Control,Diacetyl,1,10^-4,0.707142857
20220218,N2,Control,Diacetyl,2,10^-4,0.578947368
1/18/20,N2,Control,Diacetyl,1,10^-4,0.19133574
1/18/20,N2,Control,Diacetyl,2,10^-4,0.373913044
1/18/20,N2,Control,Diacetyl,3,10^-4,0.47761194
1/18/20,N2,Control,Diacetyl,1,10^-4,0.22972973
1/18/20,N2,Control,Diacetyl,2,10^-4,-0.053677932
1/18/20,N2,Control,Diacetyl,3,10^-4,0.268518519
1/21/20,N2,Control,Diacetyl,1,10^-4,0.740112994
1/21/20,N2,Control,Diacetyl,2,10^-4,0.593495935
1/21/20,N2,Control,Diacetyl,3,10^-4,0.674796748
1/29/20,N2,Control,Diacetyl,1,10^-4,0.853881279
1/29/20,N2,Control,Diacetyl,2,10^-4,0.893617021
1/31/20,N2,Control,Diacetyl,1,10^-4,0.53125
1/31/20,N2,Control,Diacetyl,2,10^-4,0.621052632
1/31/20,N2,Control,Diacetyl,3,10^-4,0.580952381
2/10/20,N2,Control,Diacetyl,1,10^-4,0.698924731
2/10/20,N2,Control,Diacetyl,2,10^-4,0.487179487
2/10/20,N2,Control,Diacetyl,3,10^-4,0.808823529
2/18/20,N2,Control,Diacetyl,1,10^-4,0.791208791
2/18/20,N2,Control,Diacetyl,2,10^-4,0.653179191
2/18/20,N2,Control,Diacetyl,3,10^-4,0.685185185
2/25/20,N2,Control,Diacetyl,1,10^-4,0.677852349
2/25/20,N2,Control,Diacetyl,2,10^-4,0.74829932
2/25/20,N2,Control,Diacetyl,3,10^-4,0.68
20211001,N2,Control,Diacetyl,1,10^-5,0.7875
20211001,N2,Control,Diacetyl,2,10^-5,0.458333333
20211001,N2,Control,Diacetyl,3,10^-5,0.316770186
20211002,N2,Control,Diacetyl,1,10^-5,0.844827586
20211002,N2,Control,Diacetyl,2,10^-5,0.85873606
20211002,N2,Control,Diacetyl,3,10^-5,0.6
20211008,N2,Control,Diacetyl,1,10^-5,0.111111111
20211008,N2,Control,Diacetyl,2,10^-5,0.562289562
20211008,N2,Control,Diacetyl,3,10^-5,0.626865672
20211015,N2,Control,Diacetyl,1,10^-5,0.635514019
20211015,N2,Control,Diacetyl,2,10^-5,0.6
20211015,N2,Control,Diacetyl,3,10^-5,0.635036496
1/18/20,N2,Control,Diacetyl,1,10^-5,-0.397727273
1/18/20,N2,Control,Diacetyl,2,10^-5,-0.373333333
1/18/20,N2,Control,Diacetyl,3,10^-5,-0.300309598
1/21/20,N2,Control,Diacetyl,1,10^-5,0.545454546
1/21/20,N2,Control,Diacetyl,2,10^-5,0.558139535
1/21/20,N2,Control,Diacetyl,3,10^-5,0.128205128
1/21/20,N2,Control,Diacetyl,4,10^-5,0.479674797
1/21/20,N2,Control,Diacetyl,5,10^-5,0.401574803
1/21/20,N2,Control,Diacetyl,6,10^-5,0.25203252
1/29/20,N2,Control,Diacetyl,1,10^-5,0.478723404
1/29/20,N2,Control,Diacetyl,2,10^-5,0.310810811
1/29/20,N2,Control,Diacetyl,3,10^-5,0.679144385
1/31/20,N2,Control,Diacetyl,1,10^-5,0.358024691
1/31/20,N2,Control,Diacetyl,2,10^-5,0.5
1/31/20,N2,Control,Diacetyl,3,10^-5,0.35042735
2/10/20,N2,Control,Diacetyl,1,10^-5,0.272727273
2/10/20,N2,Control,Diacetyl,2,10^-5,-0.163934426
2/10/20,N2,Control,Diacetyl,3,10^-5,0.213483146
2/18/20,N2,Control,Diacetyl,1,10^-5,-0.018181818
2/18/20,N2,Control,Diacetyl,2,10^-5,-0.1
2/18/20,N2,Control,Diacetyl,3,10^-5,-0.066666667
2/25/20,N2,Control,Diacetyl,1,10^-5,0.115789474
2/25/20,N2,Control,Diacetyl,2,10^-5,0.714285714
2/25/20,N2,Control,Diacetyl,3,10^-5,0.432835821
20211001,N2,Control,Diacetyl,1,10^-6,0.382550336
20211001,N2,Control,Diacetyl,2,10^-6,0.076923077
20211001,N2,Control,Diacetyl,3,10^-6,0.048387097
20211002,N2,Control,Diacetyl,1,10^-6,0.35483871
20211002,N2,Control,Diacetyl,2,10^-6,0.546468402
20211002,N2,Control,Diacetyl,3,10^-6,0.435294118
20211008,N2,Control,Diacetyl,1,10^-6,0.329305136
20211008,N2,Control,Diacetyl,2,10^-6,0.345549738
20211008,N2,Control,Diacetyl,3,10^-6,0.403846154
20211015,N2,Control,Diacetyl,1,10^-6,0.46031746
20211015,N2,Control,Diacetyl,2,10^-6,0.530054645
20211015,N2,Control,Diacetyl,3,10^-6,0.62962963
1/21/20,N2,Control,Diacetyl,1,10^-6,0.392156863
1/21/20,N2,Control,Diacetyl,2,10^-6,-0.123287671
1/21/20,N2,Control,Diacetyl,3,10^-6,-0.027027027
1/29/20,N2,Control,Diacetyl,1,10^-6,0.350993378
1/29/20,N2,Control,Diacetyl,2,10^-6,-0.191489362
1/29/20,N2,Control,Diacetyl,3,10^-6,-0.050724638
1/29/20,N2,Control,Diacetyl,4,10^-6,-0.045977011
1/31/20,N2,Control,Diacetyl,1,10^-6,-0.096774194
1/31/20,N2,Control,Diacetyl,2,10^-6,-0.134020619
1/31/20,N2,Control,Diacetyl,3,10^-6,-0.349593496
2/10/20,N2,Control,Diacetyl,1,10^-6,-0.288888889
2/10/20,N2,Control,Diacetyl,2,10^-6,-0.298245614
2/10/20,N2,Control,Diacetyl,3,10^-6,0.264705882
2/18/20,N2,Control,Diacetyl,1,10^-6,0.104294479
2/18/20,N2,Control,Diacetyl,2,10^-6,0.073170732
2/18/20,N2,Control,Diacetyl,3,10^-6,0.345794393
2/25/20,N2,Control,Diacetyl,1,10^-6,0.53271028
2/25/20,N2,Control,Diacetyl,2,10^-6,0.567307692
2/25/20,N2,Control,Diacetyl,3,10^-6,-0.282051282